payment_id,amount,failure_reason,baseline_recovered,baseline_attempts,recoup_recovered,recoup_attempts,first_action,first_timing,first_probability,second_action,second_timing,second_probability,final_outcome
PAY_008809,739.29,UNKNOWN,False,2,True,1,PAYMENT_LINK,48,0.37872694428669,,0,0.0,RECOVERED
PAY_009266,1611.67,MANDATE_FAILURE,False,2,True,1,PAYMENT_LINK,1,0.6870796102151716,,0,0.0,RECOVERED
PAY_007516,869.83,INSUFFICIENT_FUNDS,True,2,True,1,NUDGE,1,0.7755938900607079,,0,0.0,RECOVERED
PAY_006519,2530.03,UNKNOWN,False,2,False,2,PAYMENT_LINK,1,0.4055714683260359,PAYMENT_LINK,24,0.3480420171994978,NOT_RECOVERED
PAY_007870,3618.55,INSUFFICIENT_FUNDS,False,2,True,2,NUDGE,24,0.7340212169998996,NUDGE,48,0.6794810766437555,RECOVERED
PAY_002191,3196.02,INSUFFICIENT_FUNDS,False,2,True,1,NUDGE,1,0.7761004799869206,,0,0.0,RECOVERED
PAY_011936,3831.42,MANDATE_FAILURE,True,1,True,1,PAYMENT_LINK,6,0.6027227973981071,,0,0.0,RECOVERED
PAY_007596,1339.6,BANK_ERROR,True,1,True,1,SMART_RETRY,24,0.8654238407069298,,0,0.0,RECOVERED
PAY_006653,2852.74,MANDATE_FAILURE,True,1,True,2,PAYMENT_LINK,24,0.6757770601548997,PAYMENT_LINK,48,0.6446222728875448,RECOVERED
PAY_013258,4984.57,MANDATE_FAILURE,False,2,True,1,PAYMENT_LINK,24,0.6452155944917161,,0,0.0,RECOVERED
PAY_014256,4458.79,UNKNOWN,False,2,True,2,PAYMENT_LINK,1,0.36678643253039916,PAYMENT_LINK,24,0.33873884600884446,RECOVERED
PAY_007630,1287.79,MANDATE_FAILURE,False,2,True,1,PAYMENT_LINK,24,0.7001525755081989,,0,0.0,RECOVERED
PAY_006821,2472.32,BANK_ERROR,True,1,True,1,SMART_RETRY,1,0.8168477665729665,,0,0.0,RECOVERED
PAY_007144,4021.98,BANK_ERROR,False,2,True,1,SMART_RETRY,48,0.8040469022273997,,0,0.0,RECOVERED
PAY_012206,788.47,MANDATE_FAILURE,True,1,True,1,PAYMENT_LINK,24,0.6623525188984051,,0,0.0,RECOVERED
PAY_012937,3925.98,INSUFFICIENT_FUNDS,False,2,True,2,NUDGE,1,0.7762631960746785,NUDGE,24,0.7242111763527882,RECOVERED
PAY_004529,987.34,UNKNOWN,True,1,True,1,SMART_RETRY,1,0.30539539932709336,,0,0.0,RECOVERED
PAY_012074,1103.38,BANK_ERROR,True,1,True,1,SMART_RETRY,1,0.8111340504014127,,0,0.0,RECOVERED
PAY_016438,3993.53,UNKNOWN,False,2,True,1,PAYMENT_LINK,1,0.4112863367696161,,0,0.0,RECOVERED
PAY_011603,1501.45,MANDATE_FAILURE,True,1,True,1,PAYMENT_LINK,24,0.6296795114598528,,0,0.0,RECOVERED
PAY_013779,2899.72,INSUFFICIENT_FUNDS,False,2,True,1,NUDGE,1,0.7504536872564163,,0,0.0,RECOVERED
PAY_011987,1130.65,MANDATE_FAILURE,False,2,True,2,PAYMENT_LINK,1,0.6759782555855215,PAYMENT_LINK,24,0.622313505248614,RECOVERED
PAY_008714,4694.34,INSUFFICIENT_FUNDS,True,1,True,1,NUDGE,1,0.7160933002533671,,0,0.0,RECOVERED
PAY_016054,3487.93,BANK_ERROR,False,2,True,1,SMART_RETRY,1,0.8036462898787788,,0,0.0,RECOVERED
