customer_id,avg_payment_amount,payment_frequency,preferred_method,preferred_payment_day,preferred_weekday,payment_day_variance,typical_payment_hour,successful_payments,failed_payments
CUST_00001,3305.31,weekly,NETBANKING,8,1,0,19,19,1
CUST_00002,781.73,monthly,UPI,19,3,0,8,19,1
CUST_00003,740.37,weekly,UPI,18,1,2,18,18,2
CUST_00004,3596.23,biweekly,CARD,15,4,1,20,18,2
CUST_00005,4385.71,weekly,WALLET,11,2,0,11,19,1
CUST_00006,4798.9,biweekly,UPI,3,3,0,13,18,2
CUST_00007,4283.22,monthly,NETBANKING,26,0,2,15,17,3
CUST_00008,2820.27,biweekly,UPI,18,2,2,17,17,3
CUST_00009,4461.62,biweekly,CARD,23,0,0,18,17,3
CUST_00010,1371.12,biweekly,UPI,28,1,0,14,18,2
CUST_00011,1606.48,monthly,NETBANKING,6,2,1,11,19,1
CUST_00012,3449.82,monthly,UPI,20,5,0,16,16,4
CUST_00013,3726.9,weekly,WALLET,13,2,2,19,20,0
CUST_00014,2917.66,monthly,NETBANKING,27,6,0,11,17,3
CUST_00015,4162.47,biweekly,WALLET,9,0,0,17,16,4
CUST_00016,4418.93,biweekly,CARD,21,3,1,18,16,4
CUST_00017,2456.6,biweekly,CARD,8,5,2,16,17,3
CUST_00018,1534.89,monthly,WALLET,19,3,1,11,18,2
CUST_00019,4987.43,weekly,WALLET,3,6,0,21,17,3
CUST_00020,815.35,monthly,CARD,26,5,1,17,16,4
CUST_00021,598.58,biweekly,WALLET,17,2,2,21,16,4
CUST_00022,4729.43,monthly,UPI,22,4,1,20,16,4
CUST_00023,3312.52,weekly,NETBANKING,14,1,1,8,18,2
CUST_00024,4782.93,monthly,NETBANKING,17,6,0,16,18,2
CUST_00025,4589.35,monthly,NETBANKING,27,5,2,17,16,4
CUST_00026,1234.88,biweekly,CARD,18,6,2,8,17,3
CUST_00027,3115.04,biweekly,UPI,4,2,1,11,16,4
CUST_00028,572.25,monthly,UPI,3,5,1,21,19,1
CUST_00029,625.3,monthly,CARD,5,5,1,16,18,2
CUST_00030,1076.1,monthly,WALLET,7,4,2,19,15,5
CUST_00031,1245.41,biweekly,WALLET,22,5,1,15,15,5
CUST_00032,4528.19,biweekly,UPI,8,1,0,13,16,4
CUST_00033,398.86,monthly,CARD,19,1,0,9,18,2
CUST_00034,3626.85,weekly,CARD,3,0,1,9,13,7
CUST_00035,2716.53,biweekly,WALLET,7,4,0,19,19,1
CUST_00036,4696.92,monthly,WALLET,8,6,1,20,17,3
CUST_00037,2213.18,weekly,UPI,22,3,1,14,20,0
CUST_00038,2232.18,monthly,UPI,22,5,2,9,16,4
CUST_00039,584.88,monthly,NETBANKING,26,6,0,11,19,1
CUST_00040,1200.47,monthly,WALLET,5,3,0,12,17,3
CUST_00041,2474.35,weekly,WALLET,26,6,2,9,19,1
CUST_00042,537.77,monthly,UPI,3,6,0,10,15,5
CUST_00043,2210.15,biweekly,CARD,28,3,0,10,19,1
CUST_00044,2081.17,biweekly,NETBANKING,26,6,1,12,17,3
CUST_00045,2288.14,monthly,WALLET,5,1,1,11,19,1
CUST_00046,4852.93,monthly,UPI,24,2,0,8,18,2
CUST_00047,3045.63,monthly,CARD,2,4,0,21,17,3
CUST_00048,1173.38,monthly,UPI,22,6,0,14,18,2
CUST_00049,863.47,monthly,CARD,19,4,0,17,18,2
CUST_00050,685.32,monthly,NETBANKING,9,1,2,19,19,1
CUST_00051,1776.66,biweekly,WALLET,5,5,2,12,18,2
CUST_00052,2448.96,weekly,UPI,15,4,2,9,18,2
CUST_00053,644.33,weekly,NETBANKING,5,2,0,11,16,4
CUST_00054,2036.78,weekly,WALLET,27,4,2,12,14,6
CUST_00055,3174.89,monthly,UPI,22,6,2,12,15,5
CUST_00056,4679.25,weekly,CARD,9,0,0,19,16,4
CUST_00057,2900.15,biweekly,NETBANKING,20,1,2,13,17,3
CUST_00058,1256.91,monthly,NETBANKING,17,3,1,21,16,4
CUST_00059,538.75,monthly,WALLET,27,2,0,8,19,1
CUST_00060,1867.72,weekly,NETBANKING,6,5,1,16,18,2
CUST_00061,3616.64,monthly,UPI,4,0,2,10,16,4
CUST_00062,2864.27,biweekly,CARD,14,1,0,12,20,0
CUST_00063,2013.86,weekly,NETBANKING,7,5,0,18,15,5
CUST_00064,783.13,monthly,WALLET,20,5,0,11,19,1
CUST_00065,4363.65,weekly,WALLET,1,1,2,13,19,1
CUST_00066,3977.22,biweekly,CARD,9,1,2,9,20,0
CUST_00067,2097.95,weekly,WALLET,8,1,1,13,16,4
CUST_00068,1734.4,weekly,CARD,1,5,0,14,17,3
CUST_00069,1842.83,weekly,NETBANKING,12,5,2,14,15,5
CUST_00070,3493.74,monthly,NETBANKING,1,0,1,10,18,2
CUST_00071,3028.77,biweekly,UPI,4,4,1,13,15,5
CUST_00072,3724.16,biweekly,WALLET,20,4,0,14,19,1
CUST_00073,4527.67,weekly,NETBANKING,2,5,1,8,17,3
CUST_00074,2743.63,monthly,CARD,12,3,0,18,18,2
CUST_00075,4627.62,monthly,NETBANKING,22,6,0,19,17,3
CUST_00076,4530.22,monthly,NETBANKING,22,3,1,14,18,2
CUST_00077,3576.88,monthly,CARD,7,3,2,14,16,4
CUST_00078,3483.39,weekly,NETBANKING,13,4,0,12,19,1
CUST_00079,1648.49,biweekly,NETBANKING,15,3,1,18,17,3
CUST_00080,1304.4,biweekly,CARD,22,0,1,16,14,6
CUST_00081,3420.11,monthly,NETBANKING,3,6,0,18,18,2
CUST_00082,1758.97,weekly,CARD,1,0,0,15,18,2
CUST_00083,3172.99,weekly,WALLET,14,5,2,11,16,4
CUST_00084,3676.23,biweekly,WALLET,13,1,0,18,17,3
CUST_00085,3531.83,weekly,WALLET,8,1,2,16,17,3
CUST_00086,2483.38,monthly,CARD,28,0,1,10,12,8
CUST_00087,4066.66,monthly,NETBANKING,25,3,2,21,17,3
CUST_00088,3680.59,monthly,WALLET,27,4,1,10,14,6
CUST_00089,3795.18,biweekly,WALLET,9,6,0,21,13,7
CUST_00090,3297.01,monthly,WALLET,21,1,1,15,14,6
CUST_00091,664.17,biweekly,CARD,9,2,1,16,18,2
CUST_00092,678.71,weekly,CARD,13,5,0,19,18,2
CUST_00093,1305.58,biweekly,WALLET,11,4,1,14,18,2
CUST_00094,592.65,biweekly,WALLET,25,4,2,8,18,2
CUST_00095,4326.64,monthly,WALLET,16,0,1,12,17,3
CUST_00096,3841.33,biweekly,CARD,16,1,1,14,17,3
CUST_00097,2582.52,biweekly,NETBANKING,22,5,1,19,18,2
CUST_00098,1075.71,biweekly,CARD,20,4,0,14,15,5
CUST_00099,3081.9,monthly,UPI,3,5,1,10,18,2
CUST_00100,4374.2,weekly,UPI,9,3,1,11,17,3
CUST_00101,2437.09,biweekly,WALLET,9,6,1,12,15,5
CUST_00102,4224.08,biweekly,UPI,24,4,0,13,15,5
CUST_00103,1353.84,weekly,UPI,25,0,0,11,16,4
CUST_00104,4244.38,monthly,CARD,8,1,1,18,17,3
CUST_00105,837.63,weekly,WALLET,23,2,1,10,18,2
CUST_00106,3147.7,monthly,UPI,25,6,0,12,19,1
CUST_00107,808.06,weekly,NETBANKING,19,5,1,14,17,3
CUST_00108,4724.91,weekly,UPI,19,5,2,11,19,1
CUST_00109,778.94,biweekly,UPI,26,4,0,13,16,4
CUST_00110,2803.9,monthly,NETBANKING,3,4,2,13,16,4
CUST_00111,359.47,biweekly,WALLET,4,3,1,18,18,2
CUST_00112,4490.4,biweekly,CARD,14,1,2,16,17,3
CUST_00113,4837.73,biweekly,WALLET,15,3,2,17,18,2
CUST_00114,1561.46,weekly,UPI,9,3,0,20,18,2
CUST_00115,2484.13,monthly,WALLET,11,0,1,21,19,1
CUST_00116,1827.57,biweekly,CARD,12,6,1,13,16,4
CUST_00117,1614.39,monthly,NETBANKING,18,0,2,11,16,4
CUST_00118,702.38,monthly,WALLET,16,4,0,19,18,2
CUST_00119,2537.64,monthly,WALLET,15,6,0,9,18,2
CUST_00120,1682.91,biweekly,CARD,10,5,2,13,16,4
CUST_00121,2524.32,monthly,NETBANKING,14,5,2,13,16,4
CUST_00122,1953.51,biweekly,NETBANKING,10,2,0,9,18,2
CUST_00123,3690.04,biweekly,UPI,24,4,2,10,17,3
CUST_00124,1200.24,monthly,WALLET,9,5,2,20,16,4
CUST_00125,2765.79,biweekly,UPI,27,1,1,11,19,1
