payment_id,customer_id,amount,timestamp,payment_method,status,failure_reason,attempt_number
PAY_008809,CUST_00441,739.29,2025-03-02 09:30:00,WALLET,FAILED,UNKNOWN,1
PAY_009266,CUST_00464,1611.67,2025-06-14 15:21:00,NETBANKING,FAILED,MANDATE_FAILURE,1
PAY_007516,CUST_00376,869.83,2025-08-09 19:59:00,WALLET,FAILED,INSUFFICIENT_FUNDS,1
PAY_006519,CUST_00326,2530.03,2025-09-28 14:11:00,UPI,FAILED,UNKNOWN,1
PAY_007870,CUST_00394,3618.55,2025-05-20 10:40:00,UPI,FAILED,INSUFFICIENT_FUNDS,1
PAY_002191,CUST_00110,3196.02,2025-10-01 13:06:00,WALLET,FAILED,INSUFFICIENT_FUNDS,1
PAY_011936,CUST_00597,3831.42,2025-08-06 09:25:00,UPI,FAILED,MANDATE_FAILURE,1
PAY_007596,CUST_00380,1339.6,2025-04-24 19:58:00,UPI,FAILED,BANK_ERROR,1
PAY_006653,CUST_00333,2852.74,2026-01-10 21:16:00,WALLET,FAILED,MANDATE_FAILURE,1
PAY_013258,CUST_00663,4984.57,2025-09-16 21:29:00,WALLET,FAILED,MANDATE_FAILURE,1
PAY_014256,CUST_00713,4458.79,2026-04-17 18:12:00,NETBANKING,FAILED,UNKNOWN,1
PAY_007630,CUST_00382,1287.79,2025-10-08 16:14:00,CARD,FAILED,MANDATE_FAILURE,1
PAY_006821,CUST_00342,2472.32,2025-01-19 13:34:00,NETBANKING,FAILED,BANK_ERROR,1
PAY_007144,CUST_00358,4021.98,2025-02-07 16:43:00,CARD,FAILED,BANK_ERROR,1
PAY_012206,CUST_00611,788.47,2025-06-17 20:07:00,CARD,FAILED,MANDATE_FAILURE,1
PAY_012937,CUST_00647,3925.98,2026-05-11 10:51:00,CARD,FAILED,INSUFFICIENT_FUNDS,1
PAY_004529,CUST_00227,987.34,2025-05-09 08:16:00,UPI,FAILED,UNKNOWN,1
PAY_012074,CUST_00604,1103.38,2025-07-20 13:18:00,UPI,FAILED,BANK_ERROR,1
PAY_016438,CUST_00822,3993.53,2025-09-02 12:56:00,UPI,FAILED,UNKNOWN,1
PAY_011603,CUST_00581,1501.45,2025-02-02 10:20:00,WALLET,FAILED,MANDATE_FAILURE,1
PAY_013779,CUST_00689,2899.72,2026-07-14 11:07:00,UPI,FAILED,INSUFFICIENT_FUNDS,1
PAY_011987,CUST_00600,1130.65,2025-03-31 11:42:00,CARD,FAILED,MANDATE_FAILURE,1
PAY_008714,CUST_00436,4694.34,2026-02-16 08:18:00,CARD,FAILED,INSUFFICIENT_FUNDS,1
PAY_016054,CUST_00803,3487.93,2025-04-25 19:07:00,UPI,FAILED,BANK_ERROR,1
PAY_015169,CUST_00759,3544.8,2025-05-12 12:12:00,WALLET,FAILED,INSUFFICIENT_FUNDS,1
PAY_017799,CUST_00890,3251.2,2025-05-21 17:05:00,CARD,FAILED,MANDATE_FAILURE,1
PAY_012679,CUST_00634,4675.31,2025-05-20 10:08:00,CARD,FAILED,INSUFFICIENT_FUNDS,1
PAY_003866,CUST_00194,5531.47,2025-02-21 14:59:00,UPI,FAILED,MANDATE_FAILURE,1
PAY_012440,CUST_00622,1293.29,2026-08-09 12:05:00,UPI,FAILED,BANK_ERROR,1
PAY_003547,CUST_00178,4731.13,2025-04-17 13:25:00,UPI,FAILED,UNKNOWN,1
PAY_006884,CUST_00345,1302.15,2025-02-14 19:34:00,WALLET,FAILED,BANK_ERROR,1
PAY_015156,CUST_00758,2954.38,2025-08-08 17:27:00,NETBANKING,FAILED,MANDATE_FAILURE,1
PAY_018685,CUST_00935,1113.75,2025-05-16 19:24:00,NETBANKING,FAILED,MANDATE_FAILURE,1
PAY_012678,CUST_00634,4375.34,2025-05-13 10:39:00,CARD,FAILED,INSUFFICIENT_FUNDS,1
PAY_014188,CUST_00710,3373.94,2025-03-01 15:48:00,WALLET,FAILED,INSUFFICIENT_FUNDS,1
PAY_004973,CUST_00249,2547.39,2025-07-11 08:58:00,WALLET,FAILED,MANDATE_FAILURE,1
PAY_006103,CUST_00306,1001.48,2025-02-04 21:06:00,WALLET,FAILED,BANK_ERROR,1
