payment_id,amount,failure_reason,baseline_recovered,baseline_action,baseline_timing,baseline_attempts,recoup_recovered,recoup_action,recoup_timing,recoup_attempts
PAY_008809,739.29,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_009266,1611.67,MANDATE_FAILURE,False,STOP,0,2,True,PAYMENT_LINK,24,1
PAY_007516,869.83,INSUFFICIENT_FUNDS,True,SMART_RETRY,25,2,False,NUDGE,1,1
PAY_006519,2530.03,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_007870,3618.55,INSUFFICIENT_FUNDS,False,STOP,0,2,False,NUDGE,1,1
PAY_002191,3196.02,INSUFFICIENT_FUNDS,False,STOP,0,2,True,NUDGE,48,1
PAY_011936,3831.42,MANDATE_FAILURE,True,SMART_RETRY,1,1,False,PAYMENT_LINK,1,1
PAY_007596,1339.6,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_006653,2852.74,MANDATE_FAILURE,True,SMART_RETRY,1,1,False,PAYMENT_LINK,1,1
PAY_013258,4984.57,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_014256,4458.79,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_007630,1287.79,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_006821,2472.32,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_007144,4021.98,BANK_ERROR,False,STOP,0,2,False,SMART_RETRY,1,1
PAY_012206,788.47,MANDATE_FAILURE,True,SMART_RETRY,1,1,True,PAYMENT_LINK,1,1
PAY_012937,3925.98,INSUFFICIENT_FUNDS,False,STOP,0,2,False,NUDGE,24,1
PAY_004529,987.34,UNKNOWN,True,SMART_RETRY,1,1,False,PAYMENT_LINK,1,1
PAY_012074,1103.38,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_016438,3993.53,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_011603,1501.45,MANDATE_FAILURE,True,SMART_RETRY,1,1,True,PAYMENT_LINK,1,1
PAY_013779,2899.72,INSUFFICIENT_FUNDS,False,STOP,0,2,True,NUDGE,1,1
PAY_011987,1130.65,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_008714,4694.34,INSUFFICIENT_FUNDS,True,SMART_RETRY,1,1,False,NUDGE,24,1
PAY_016054,3487.93,BANK_ERROR,False,STOP,0,2,False,SMART_RETRY,1,1
PAY_015169,3544.8,INSUFFICIENT_FUNDS,False,STOP,0,2,False,NUDGE,1,1
PAY_017799,3251.2,MANDATE_FAILURE,True,SMART_RETRY,1,1,False,PAYMENT_LINK,1,1
PAY_012679,4675.31,INSUFFICIENT_FUNDS,False,STOP,0,2,False,NUDGE,1,1
PAY_003866,5531.47,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_012440,1293.29,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_003547,4731.13,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_006884,1302.15,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_015156,2954.38,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_018685,1113.75,MANDATE_FAILURE,False,STOP,0,2,True,PAYMENT_LINK,48,1
PAY_012678,4375.34,INSUFFICIENT_FUNDS,True,SMART_RETRY,1,1,True,NUDGE,1,1
PAY_014188,3373.94,INSUFFICIENT_FUNDS,False,STOP,0,2,False,NUDGE,1,1
PAY_004973,2547.39,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_006103,1001.48,BANK_ERROR,True,SMART_RETRY,1,1,False,SMART_RETRY,24,1
PAY_011551,1265.07,INSUFFICIENT_FUNDS,False,STOP,0,2,True,NUDGE,1,1
PAY_003119,4147.88,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_000229,3574.78,BANK_ERROR,False,STOP,0,2,False,SMART_RETRY,1,1
PAY_004225,1011.96,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_006773,500.38,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_010883,634.41,MANDATE_FAILURE,True,SMART_RETRY,1,1,False,PAYMENT_LINK,1,1
PAY_013503,2658.82,INSUFFICIENT_FUNDS,False,STOP,0,2,False,NUDGE,1,1
PAY_010511,1510.29,UNKNOWN,False,STOP,0,2,True,PAYMENT_LINK,1,1
