payment_id,amount,failure_reason,baseline_recovered,baseline_action,baseline_timing,baseline_attempts,recoup_recovered,recoup_action,recoup_timing,recoup_probability,recoup_expected_recovery,recoup_attempts
PAY_008809,739.29,UNKNOWN,False,STOP,0,2,False,NUDGE,1,0.41971173276199353,310.0886869136142,1
PAY_009266,1611.67,MANDATE_FAILURE,False,STOP,0,2,True,PAYMENT_LINK,1,0.6682721433678891,1076.0341653017258,1
PAY_007516,869.83,INSUFFICIENT_FUNDS,True,SMART_RETRY,25,2,True,SMART_RETRY,1,0.7178382313260865,623.8972287543698,1
PAY_006519,2530.03,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,0.334464006672275,845.203970801056,1
PAY_007870,3618.55,INSUFFICIENT_FUNDS,False,STOP,0,2,False,NUDGE,1,0.6951476585852343,2515.2265599735997,1
PAY_002191,3196.02,INSUFFICIENT_FUNDS,False,STOP,0,2,True,NUDGE,24,0.7316723808543558,2338.2395626581383,1
PAY_011936,3831.42,MANDATE_FAILURE,True,SMART_RETRY,1,1,False,PAYMENT_LINK,24,0.7156076778139253,2740.7935689298297,1
PAY_007596,1339.6,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,0.8257334485682903,1105.6525277020817,1
PAY_006653,2852.74,MANDATE_FAILURE,True,SMART_RETRY,1,1,True,PAYMENT_LINK,1,0.7164297128550384,2042.7876990500822,1
PAY_013258,4984.57,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,1,0.666518660592057,3321.3089200273494,1
PAY_014256,4458.79,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,48,0.33428978822770666,1489.5279648518163,1
PAY_007630,1287.79,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,1,0.7069526088102849,909.4065000997967,1
PAY_006821,2472.32,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,24,0.8181369530005925,2022.196351642425,1
PAY_007144,4021.98,BANK_ERROR,False,STOP,0,2,True,SMART_RETRY,24,0.7664279656953881,3082.057949467537,1
PAY_012206,788.47,MANDATE_FAILURE,True,SMART_RETRY,1,1,True,PAYMENT_LINK,24,0.6594117430075269,518.9263770091447,1
PAY_012937,3925.98,INSUFFICIENT_FUNDS,False,STOP,0,2,False,NUDGE,1,0.7524542822148612,2953.920462889901,1
PAY_004529,987.34,UNKNOWN,True,SMART_RETRY,1,1,False,PAYMENT_LINK,1,0.3589800573072748,353.4353697817647,1
